"YearEnd","Country","HBT","DepartmentType","Age","AgeQF","Sex","SexQF","Deprivation","DeprivationQF","OneAttendance","TwoAttendances","ThreeAttendances","FourAttendances","FivePlusAttendances"
"202406","S92000003","S08000015","Emergency Department","18-24","","Male","","2","",484,97,22,12,5
"202406","S92000003","S08000015","Emergency Department","18-24","","Male","","3","",301,57,24,4,6
"202406","S92000003","S08000015","Emergency Department","18-24","","Male","","4","",233,49,14,3,1
"202406","S92000003","S08000015","Emergency Department","18-24","","Male","","5","",192,33,9,3,0
"202406","S92000003","S08000015","Emergency Department","18-24","","Male","","",":",55,15,1,2,1
"202406","S92000003","S08000015","Emergency Department","25-39","","Male","","1","",1826,425,132,43,65
"202406","S92000003","S08000015","Emergency Department","25-39","","Male","","2","",1090,233,65,24,21
"202406","S92000003","S08000015","Emergency Department","25-39","","Male","","3","",594,111,32,12,9
"202406","S92000003","S08000015","Emergency Department","25-39","","Male","","4","",440,75,17,5,4
"202406","S92000003","S08000015","Emergency Department","25-39","","Male","","5","",321,56,11,4,2
"202406","S92000003","S08000015","Emergency Department","25-39","","Male","","",":",187,30,10,4,3
"202406","S92000003","S08000015","Emergency Department","40-64","","Male","","1","",2390,567,180,66,79
"202406","S92000003","S08000015","Emergency Department","40-64","","Male","","2","",1816,368,94,28,37
"202406","S92000003","S08000015","Emergency Department","40-64","","Male","","3","",1179,207,51,20,11
"202406","S92000003","S08000015","Emergency Department","40-64","","Male","","4","",858,178,45,11,8
"202406","S92000003","S08000015","Emergency Department","40-64","","Male","","5","",725,124,24,5,1
"202406","S92000003","S08000015","Emergency Department","40-64","","Male","","",":",207,30,10,2,1
"202406","S92000003","S08000015","Emergency Department","65-74","","Male","","1","",784,177,57,14,22
"202406","S92000003","S08000015","Emergency Department","65-74","","Male","","2","",640,146,46,17,12
"202406","S92000003","S08000015","Emergency Department","65-74","","Male","","3","",471,97,20,10,9
"202406","S92000003","S08000015","Emergency Department","65-74","","Male","","4","",348,79,21,4,4
"202406","S92000003","S08000015","Emergency Department","65-74","","Male","","5","",361,66,16,6,12
"202406","S92000003","S08000015","Emergency Department","65-74","","Male","","",":",75,9,6,2,3
"202406","S92000003","S08000015","Emergency Department","75 plus","","Male","","1","",765,207,59,19,20
"202406","S92000003","S08000015","Emergency Department","75 plus","","Male","","2","",759,200,59,20,19
"202406","S92000003","S08000015","Emergency Department","75 plus","","Male","","3","",562,133,55,9,12
"202406","S92000003","S08000015","Emergency Department","75 plus","","Male","","4","",447,98,38,9,12
"202406","S92000003","S08000015","Emergency Department","75 plus","","Male","","5","",500,111,26,12,10
"202406","S92000003","S08000015","Emergency Department","75 plus","","Male","","",":",51,12,5,0,0
"202406","S92000003","S08000015","Emergency Department","Under 18","","Male","","1","",2174,548,142,45,27
"202406","S92000003","S08000015","Emergency Department","Under 18","","Male","","2","",1376,324,97,32,20
"202406","S92000003","S08000015","Emergency Department","Under 18","","Male","","3","",949,196,46,24,11
"202406","S92000003","S08000015","Emergency Department","Under 18","","Male","","4","",732,153,36,9,5
"202406","S92000003","S08000015","Emergency Department","Under 18","","Male","","5","",665,140,37,10,4
"202406","S92000003","S08000015","Emergency Department","Under 18","","Male","","",":",366,81,24,13,4
"202406","S92000003","S08000015","Emergency Department","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000016","Emergency Department","18-24","","Female","","1","",63,12,4,1,2
"202406","S92000003","S08000016","Emergency Department","18-24","","Female","","2","",88,25,6,2,3
"202406","S92000003","S08000016","Emergency Department","18-24","","Female","","3","",135,42,10,7,8
"202406","S92000003","S08000016","Emergency Department","18-24","","Female","","4","",132,36,8,1,1
"202406","S92000003","S08000016","Emergency Department","18-24","","Female","","5","",55,5,2,0,1
"202406","S92000003","S08000016","Emergency Department","18-24","","Female","","",":",25,3,0,2,0
"202406","S92000003","S08000016","Emergency Department","25-39","","Female","","1","",121,32,5,1,7
"202406","S92000003","S08000016","Emergency Department","25-39","","Female","","2","",191,34,16,5,15
"202406","S92000003","S08000016","Emergency Department","25-39","","Female","","3","",327,88,27,13,10
"202406","S92000003","S08000016","Emergency Department","25-39","","Female","","4","",288,50,16,11,7
"202406","S92000003","S08000016","Emergency Department","25-39","","Female","","5","",80,21,4,3,3
"202406","S92000003","S08000016","Emergency Department","25-39","","Female","","",":",69,13,4,2,1
"202406","S92000003","S08000016","Emergency Department","40-64","","Female","","1","",143,50,12,6,9
"202406","S92000003","S08000016","Emergency Department","40-64","","Female","","2","",333,86,18,8,10
"202406","S92000003","S08000016","Emergency Department","40-64","","Female","","3","",743,161,48,13,24
"202406","S92000003","S08000016","Emergency Department","40-64","","Female","","4","",665,123,41,15,12
"202406","S92000003","S08000016","Emergency Department","40-64","","Female","","5","",210,28,9,2,4
"202406","S92000003","S08000016","Emergency Department","40-64","","Female","","",":",73,16,5,2,1
"202406","S92000003","S08000016","Emergency Department","65-74","","Female","","1","",42,22,1,2,1
"202406","S92000003","S08000016","Emergency Department","65-74","","Female","","2","",149,33,16,8,10
"202406","S92000003","S08000016","Emergency Department","65-74","","Female","","3","",338,83,31,9,7
"202406","S92000003","S08000016","Emergency Department","65-74","","Female","","4","",354,85,31,6,6
"202406","S92000003","S08000016","Emergency Department","65-74","","Female","","5","",100,17,5,0,0
"202406","S92000003","S08000016","Emergency Department","65-74","","Female","","",":",27,6,3,1,0
"202406","S92000003","S08000016","Emergency Department","75 plus","","Female","","1","",51,12,9,2,2
"202406","S92000003","S08000016","Emergency Department","75 plus","","Female","","2","",307,85,39,18,16
"202406","S92000003","S08000016","Emergency Department","75 plus","","Female","","3","",509,180,60,22,10
"202406","S92000003","S08000016","Emergency Department","75 plus","","Female","","4","",557,186,68,27,22
"202406","S92000003","S08000016","Emergency Department","75 plus","","Female","","5","",126,36,14,6,2
"202406","S92000003","S08000016","Emergency Department","75 plus","","Female","","",":",60,16,4,7,7
"202406","S92000003","S08000016","Emergency Department","Under 18","","Female","","1","",119,24,6,2,3
"202406","S92000003","S08000016","Emergency Department","Under 18","","Female","","2","",132,34,8,3,3
"202406","S92000003","S08000016","Emergency Department","Under 18","","Female","","3","",381,67,21,8,4
"202406","S92000003","S08000016","Emergency Department","Under 18","","Female","","4","",347,56,9,1,0
"202406","S92000003","S08000016","Emergency Department","Under 18","","Female","","5","",112,20,3,1,0
"202406","S92000003","S08000016","Emergency Department","Under 18","","Female","","",":",83,13,5,2,2
"202406","S92000003","S08000016","Emergency Department","18-24","","Male","","1","",57,11,11,1,3
"202406","S92000003","S08000016","Emergency Department","18-24","","Male","","2","",91,17,5,3,1
"202406","S92000003","S08000016","Emergency Department","18-24","","Male","","3","",194,47,12,3,6
"202406","S92000003","S08000016","Emergency Department","18-24","","Male","","4","",150,34,10,4,3
"202406","S92000003","S08000016","Emergency Department","18-24","","Male","","5","",54,4,2,1,1
"202406","S92000003","S08000016","Emergency Department","18-24","","Male","","",":",19,5,2,2,0
"202406","S92000003","S08000016","Emergency Department","25-39","","Male","","1","",121,25,6,4,2
"202406","S92000003","S08000016","Emergency Department","25-39","","Male","","2","",239,41,12,3,17
"202406","S92000003","S08000016","Emergency Department","25-39","","Male","","3","",381,79,25,11,5
"202406","S92000003","S08000016","Emergency Department","25-39","","Male","","4","",301,54,15,1,4
"202406","S92000003","S08000016","Emergency Department","25-39","","Male","","5","",102,10,5,3,1
"202406","S92000003","S08000016","Emergency Department","25-39","","Male","","",":",45,6,2,0,2
"202406","S92000003","S08000016","Emergency Department","40-64","","Male","","1","",196,32,14,3,8
"202406","S92000003","S08000016","Emergency Department","40-64","","Male","","2","",375,78,22,15,12
"202406","S92000003","S08000016","Emergency Department","40-64","","Male","","3","",740,164,49,19,23
"202406","S92000003","S08000016","Emergency Department","40-64","","Male","","4","",683,143,34,12,13
"202406","S92000003","S08000016","Emergency Department","40-64","","Male","","5","",184,42,7,3,2
"202406","S92000003","S08000016","Emergency Department","40-64","","Male","","",":",74,18,7,1,2
"202406","S92000003","S08000016","Emergency Department","65-74","","Male","","1","",42,18,4,3,3
"202406","S92000003","S08000016","Emergency Department","65-74","","Male","","2","",158,31,16,6,6
"202406","S92000003","S08000016","Emergency Department","65-74","","Male","","3","",331,70,28,9,14
"202406","S92000003","S08000016","Emergency Department","65-74","","Male","","4","",345,78,28,10,11
"202406","S92000003","S08000016","Emergency Department","65-74","","Male","","5","",80,13,5,4,3
"202406","S92000003","S08000016","Emergency Department","65-74","","Male","","",":",27,11,4,0,1
"202406","S92000003","S08000016","Emergency Department","75 plus","","Male","","1","",54,18,4,1,3
"202406","S92000003","S08000016","Emergency Department","75 plus","","Male","","2","",206,67,41,10,7
"202406","S92000003","S08000016","Emergency Department","75 plus","","Male","","3","",423,150,58,21,25
"202406","S92000003","S08000016","Emergency Department","75 plus","","Male","","4","",495,148,54,27,26
"202406","S92000003","S08000016","Emergency Department","75 plus","","Male","","5","",107,36,13,3,6
"202406","S92000003","S08000016","Emergency Department","75 plus","","Male","","",":",57,11,4,2,2
"202406","S92000003","S08000016","Emergency Department","Under 18","","Male","","1","",122,27,4,3,2
"202406","S92000003","S08000016","Emergency Department","Under 18","","Male","","2","",198,29,8,6,1
"202406","S92000003","S08000016","Emergency Department","Under 18","","Male","","3","",495,99,20,5,4
"202406","S92000003","S08000016","Emergency Department","Under 18","","Male","","4","",478,74,22,5,3
"202406","S92000003","S08000016","Emergency Department","Under 18","","Male","","5","",157,37,11,0,2
"202406","S92000003","S08000016","Emergency Department","Under 18","","Male","","",":",110,19,1,2,0
"202406","S92000003","S08000016","Emergency Department","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000017","Emergency Department","18-24","","Female","","1","",115,36,16,3,9
"202406","S92000003","S08000017","Emergency Department","18-24","","Female","","2","",245,71,34,11,18
"202406","S92000003","S08000017","Emergency Department","18-24","","Female","","3","",240,58,19,7,10
"202406","S92000003","S08000017","Emergency Department","18-24","","Female","","4","",123,22,5,4,2
"202406","S92000003","S08000017","Emergency Department","18-24","","Female","","5","",70,13,7,2,1
"202406","S92000003","S08000017","Emergency Department","18-24","","Female","","",":",39,6,0,1,0
"202406","S92000003","S08000017","Emergency Department","25-39","","Female","","1","",270,64,25,14,21
"202406","S92000003","S08000017","Emergency Department","25-39","","Female","","2","",516,136,56,20,40
"202406","S92000003","S08000017","Emergency Department","25-39","","Female","","3","",492,98,30,12,10
"202406","S92000003","S08000017","Emergency Department","25-39","","Female","","4","",224,42,11,4,5
"202406","S92000003","S08000017","Emergency Department","25-39","","Female","","5","",136,28,8,0,0
"202406","S92000003","S08000017","Emergency Department","25-39","","Female","","",":",76,15,2,1,7
"202406","S92000003","S08000017","Emergency Department","40-64","","Female","","1","",341,100,38,12,23
"202406","S92000003","S08000017","Emergency Department","40-64","","Female","","2","",1017,258,78,34,42
"202406","S92000003","S08000017","Emergency Department","40-64","","Female","","3","",1050,204,67,20,16
"202406","S92000003","S08000017","Emergency Department","40-64","","Female","","4","",501,94,22,3,8
"202406","S92000003","S08000017","Emergency Department","40-64","","Female","","5","",297,35,10,3,3
"202406","S92000003","S08000017","Emergency Department","40-64","","Female","","",":",98,11,4,1,3
"202406","S92000003","S08000017","Emergency Department","65-74","","Female","","1","",105,25,10,7,6
"202406","S92000003","S08000017","Emergency Department","65-74","","Female","","2","",398,99,35,15,14
"202406","S92000003","S08000017","Emergency Department","65-74","","Female","","3","",484,88,22,6,16
"202406","S92000003","S08000017","Emergency Department","65-74","","Female","","4","",220,46,9,2,5
"202406","S92000003","S08000017","Emergency Department","65-74","","Female","","5","",121,23,4,1,1
"202406","S92000003","S08000017","Emergency Department","65-74","","Female","","",":",32,9,0,0,0
"202406","S92000003","S08000017","Emergency Department","75 plus","","Female","","1","",117,44,12,11,8
"202406","S92000003","S08000017","Emergency Department","75 plus","","Female","","2","",596,182,75,25,23
"202406","S92000003","S08000017","Emergency Department","75 plus","","Female","","3","",752,193,70,32,23
"202406","S92000003","S08000017","Emergency Department","75 plus","","Female","","4","",370,104,24,11,4
"202406","S92000003","S08000017","Emergency Department","75 plus","","Female","","5","",181,48,13,6,3
"202406","S92000003","S08000017","Emergency Department","75 plus","","Female","","",":",27,5,1,1,1
"202406","S92000003","S08000017","Emergency Department","Under 18","","Female","","1","",278,73,23,11,11
"202406","S92000003","S08000017","Emergency Department","Under 18","","Female","","2","",664,181,62,30,16
"202406","S92000003","S08000017","Emergency Department","Under 18","","Female","","3","",686,138,47,12,15
"202406","S92000003","S08000017","Emergency Department","Under 18","","Female","","4","",287,75,13,4,4
"202406","S92000003","S08000017","Emergency Department","Under 18","","Female","","5","",202,37,7,4,3
"202406","S92000003","S08000017","Emergency Department","Under 18","","Female","","",":",76,15,4,1,3
"202406","S92000003","S08000017","Emergency Department","18-24","","Male","","1","",111,35,9,4,5
"202406","S92000003","S08000017","Emergency Department","18-24","","Male","","2","",295,63,23,12,18
"202406","S92000003","S08000017","Emergency Department","18-24","","Male","","3","",308,59,22,8,4
"202406","S92000003","S08000017","Emergency Department","18-24","","Male","","4","",128,22,9,0,0
"202406","S92000003","S08000017","Emergency Department","18-24","","Male","","5","",69,16,3,1,0
"202406","S92000003","S08000017","Emergency Department","18-24","","Male","","",":",31,6,0,0,0
"202406","S92000003","S08000017","Emergency Department","25-39","","Male","","1","",329,97,30,20,18
"202406","S92000003","S08000017","Emergency Department","25-39","","Male","","2","",552,136,47,11,31
"202406","S92000003","S08000017","Emergency Department","25-39","","Male","","3","",600,122,38,11,11
"202406","S92000003","S08000017","Emergency Department","25-39","","Male","","4","",257,45,14,5,5
"202406","S92000003","S08000017","Emergency Department","25-39","","Male","","5","",168,27,6,3,1
"202406","S92000003","S08000017","Emergency Department","25-39","","Male","","",":",90,8,1,2,1
"202406","S92000003","S08000017","Emergency Department","40-64","","Male","","1","",374,102,31,14,19
"202406","S92000003","S08000017","Emergency Department","40-64","","Male","","2","",938,252,67,29,47
"202406","S92000003","S08000017","Emergency Department","40-64","","Male","","3","",1115,212,62,22,27
"202406","S92000003","S08000017","Emergency Department","40-64","","Male","","4","",468,90,30,9,4
"202406","S92000003","S08000017","Emergency Department","40-64","","Male","","5","",285,34,11,4,1
"202406","S92000003","S08000017","Emergency Department","40-64","","Male","","",":",109,9,8,2,1
"202406","S92000003","S08000017","Emergency Department","65-74","","Male","","1","",102,37,8,6,3
"202406","S92000003","S08000017","Emergency Department","65-74","","Male","","2","",404,112,50,13,14
"202406","S92000003","S08000017","Emergency Department","65-74","","Male","","3","",497,108,33,11,12
"202406","S92000003","S08000017","Emergency Department","65-74","","Male","","4","",222,41,17,4,4
"202406","S92000003","S08000017","Emergency Department","65-74","","Male","","5","",125,24,7,4,2
"202406","S92000003","S08000017","Emergency Department","65-74","","Male","","",":",45,8,3,0,0
"202406","S92000003","S08000017","Emergency Department","75 plus","","Male","","1","",96,34,12,4,13
"202406","S92000003","S08000017","Emergency Department","75 plus","","Male","","2","",433,164,63,31,39
"202406","S92000003","S08000017","Emergency Department","75 plus","","Male","","3","",631,169,72,30,29
"202406","S92000003","S08000017","Emergency Department","75 plus","","Male","","4","",276,90,26,8,7
"202406","S92000003","S08000017","Emergency Department","75 plus","","Male","","5","",142,45,17,8,2
"202406","S92000003","S08000017","Emergency Department","75 plus","","Male","","",":",35,3,4,1,1
"202406","S92000003","S08000017","Emergency Department","Under 18","","Male","","1","",314,84,29,15,11
"202406","S92000003","S08000017","Emergency Department","Under 18","","Male","","2","",672,198,59,35,22
"202406","S92000003","S08000017","Emergency Department","Under 18","","Male","","3","",842,158,44,14,11
"202406","S92000003","S08000017","Emergency Department","Under 18","","Male","","4","",354,73,20,6,2
"202406","S92000003","S08000017","Emergency Department","Under 18","","Male","","5","",224,48,8,4,2
"202406","S92000003","S08000017","Emergency Department","Under 18","","Male","","",":",91,26,3,4,1
"202406","S92000003","S08000017","Emergency Department","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000019","Emergency Department","18-24","","Female","","1","",309,74,32,6,8
"202406","S92000003","S08000019","Emergency Department","18-24","","Female","","2","",380,76,20,8,14
"202406","S92000003","S08000019","Emergency Department","18-24","","Female","","3","",235,42,11,4,8
"202406","S92000003","S08000019","Emergency Department","18-24","","Female","","4","",219,43,7,1,4
"202406","S92000003","S08000019","Emergency Department","18-24","","Female","","5","",275,36,6,1,0
"202406","S92000003","S08000019","Emergency Department","18-24","","Female","","",":",60,14,2,1,0
"202406","S92000003","S08000019","Emergency Department","25-39","","Female","","1","",694,145,47,19,26
"202406","S92000003","S08000019","Emergency Department","25-39","","Female","","2","",854,135,34,18,17
"202406","S92000003","S08000019","Emergency Department","25-39","","Female","","3","",444,75,18,10,10
"202406","S92000003","S08000019","Emergency Department","25-39","","Female","","4","",412,62,18,4,10
"202406","S92000003","S08000019","Emergency Department","25-39","","Female","","5","",351,42,7,2,3
"202406","S92000003","S08000019","Emergency Department","25-39","","Female","","",":",145,19,5,2,1
"202406","S92000003","S08000019","Emergency Department","40-64","","Female","","1","",992,171,43,32,33
"202406","S92000003","S08000019","Emergency Department","40-64","","Female","","2","",1344,239,58,29,20
"202406","S92000003","S08000019","Emergency Department","40-64","","Female","","3","",828,156,27,13,20
"202406","S92000003","S08000019","Emergency Department","40-64","","Female","","4","",784,105,24,7,12
"202406","S92000003","S08000019","Emergency Department","40-64","","Female","","5","",696,93,23,4,11
"202406","S92000003","S08000019","Emergency Department","40-64","","Female","","",":",170,18,1,1,0
"202406","S92000003","S08000019","Emergency Department","65-74","","Female","","1","",304,87,13,10,9
"202406","S92000003","S08000019","Emergency Department","65-74","","Female","","2","",471,96,29,7,10
"202406","S92000003","S08000019","Emergency Department","65-74","","Female","","3","",368,64,17,10,2
"202406","S92000003","S08000019","Emergency Department","65-74","","Female","","4","",342,59,12,4,8
"202406","S92000003","S08000019","Emergency Department","65-74","","Female","","5","",306,60,8,3,4
"202406","S92000003","S08000019","Emergency Department","65-74","","Female","","",":",61,6,0,0,0
"202406","S92000003","S08000019","Emergency Department","75 plus","","Female","","1","",429,105,42,14,10
"202406","S92000003","S08000019","Emergency Department","75 plus","","Female","","2","",710,184,65,31,10
"202406","S92000003","S08000019","Emergency Department","75 plus","","Female","","3","",574,142,43,19,7
"202406","S92000003","S08000019","Emergency Department","75 plus","","Female","","4","",666,144,48,12,4
"202406","S92000003","S08000019","Emergency Department","75 plus","","Female","","5","",546,109,28,10,8
"202406","S92000003","S08000019","Emergency Department","75 plus","","Female","","",":",39,6,2,0,0
"202406","S92000003","S08000019","Emergency Department","Under 18","","Female","","1","",624,112,39,11,10
"202406","S92000003","S08000019","Emergency Department","Under 18","","Female","","2","",823,147,52,15,7
"202406","S92000003","S08000019","Emergency Department","Under 18","","Female","","3","",505,89,18,5,3
"202406","S92000003","S08000019","Emergency Department","Under 18","","Female","","4","",533,60,13,9,2
"202406","S92000003","S08000019","Emergency Department","Under 18","","Female","","5","",482,67,11,4,3
"202406","S92000003","S08000019","Emergency Department","Under 18","","Female","","",":",190,22,6,1,0
"202406","S92000003","S08000019","Emergency Department","18-24","","Male","","1","",318,60,15,2,6
"202406","S92000003","S08000019","Emergency Department","18-24","","Male","","2","",367,79,13,10,6
"202406","S92000003","S08000019","Emergency Department","18-24","","Male","","3","",218,48,6,5,1
"202406","S92000003","S08000019","Emergency Department","18-24","","Male","","4","",219,44,5,1,3
"202406","S92000003","S08000019","Emergency Department","18-24","","Male","","5","",241,30,9,2,6
"202406","S92000003","S08000019","Emergency Department","18-24","","Male","","",":",68,8,1,0,0
"202406","S92000003","S08000019","Emergency Department","25-39","","Male","","1","",760,144,52,16,18
"202406","S92000003","S08000019","Emergency Department","25-39","","Male","","2","",925,154,47,16,22
"202406","S92000003","S08000019","Emergency Department","25-39","","Male","","3","",553,92,22,5,14
"202406","S92000003","S08000019","Emergency Department","25-39","","Male","","4","",456,65,13,4,6
"202406","S92000003","S08000019","Emergency Department","25-39","","Male","","5","",349,50,9,4,2
"202406","S92000003","S08000019","Emergency Department","25-39","","Male","","",":",143,21,0,3,3
"202406","S92000003","S08000019","Emergency Department","40-64","","Male","","1","",1014,226,83,32,45
"202406","S92000003","S08000019","Emergency Department","40-64","","Male","","2","",1347,229,73,32,39
"202406","S92000003","S08000019","Emergency Department","40-64","","Male","","3","",884,132,41,19,14
"202406","S92000003","S08000019","Emergency Department","40-64","","Male","","4","",884,119,39,11,9
"202406","S92000003","S08000019","Emergency Department","40-64","","Male","","5","",754,111,24,9,5
"202406","S92000003","S08000019","Emergency Department","40-64","","Male","","",":",178,25,3,0,1
"202406","S92000003","S08000019","Emergency Department","65-74","","Male","","1","",280,94,22,6,7
"202406","S92000003","S08000019","Emergency Department","65-74","","Male","","2","",454,103,35,16,9
"202406","S92000003","S08000019","Emergency Department","65-74","","Male","","3","",332,69,19,8,7
"202406","S92000003","S08000019","Emergency Department","65-74","","Male","","4","",336,51,15,5,9
"202406","S92000003","S08000019","Emergency Department","65-74","","Male","","5","",279,55,13,2,1
"202406","S92000003","S08000019","Emergency Department","65-74","","Male","","",":",57,7,1,0,0
"202406","S92000003","S08000019","Emergency Department","75 plus","","Male","","1","",294,98,43,16,10
"202406","S92000003","S08000019","Emergency Department","75 plus","","Male","","2","",516,134,51,20,15
"202406","S92000003","S08000019","Emergency Department","75 plus","","Male","","3","",410,94,40,14,6
"202406","S92000003","S08000019","Emergency Department","75 plus","","Male","","4","",444,124,30,12,8
"202406","S92000003","S08000019","Emergency Department","75 plus","","Male","","5","",485,100,20,5,8
"202406","S92000003","S08000019","Emergency Department","75 plus","","Male","","",":",37,5,1,1,0
"202406","S92000003","S08000019","Emergency Department","Under 18","","Male","","1","",789,149,34,7,7
"202406","S92000003","S08000019","Emergency Department","Under 18","","Male","","2","",990,175,42,12,3
"202406","S92000003","S08000019","Emergency Department","Under 18","","Male","","3","",620,101,22,4,4
"202406","S92000003","S08000019","Emergency Department","Under 18","","Male","","4","",672,102,22,5,2
"202406","S92000003","S08000019","Emergency Department","Under 18","","Male","","5","",596,101,17,4,6
"202406","S92000003","S08000019","Emergency Department","Under 18","","Male","","",":",213,36,4,3,0
"202406","S92000003","S08000019","Emergency Department","",":","",":","",":",0,0,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Female","","1","",81,8,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Female","","2","",81,5,0,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Female","","3","",67,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Female","","4","",80,6,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Female","","5","",114,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","18-24","","Female","","",":",21,0,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Female","","1","",179,12,2,2,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Female","","2","",197,8,2,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Female","","3","",95,4,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Female","","4","",120,6,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Female","","5","",89,2,0,1,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","25-39","","Female","","",":",41,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Female","","1","",236,14,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Female","","2","",264,17,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Female","","3","",219,9,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Female","","4","",243,10,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Female","","5","",218,8,1,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","40-64","","Female","","",":",51,2,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Female","","1","",48,3,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Female","","2","",82,4,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Female","","3","",65,1,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Female","","4","",86,5,0,0,0
"202406","S92000003","S08000019","Minor Injury Unit or Other","65-74","","Female","","5","",92,2,0,0,1
